Model,Accuracy,Precision,Recall,F1,ROC_AUC,FPR,TN,FP,FN,TP,Family
XGBoost_PSO,0.9904658131299373,0.993950916004148,0.993950916004148,0.993950916004148,0.9990096652055266,0.022493573264767034,1521,35,35,5751,Tuned
RF_GridSearch,0.9888313810950695,0.9930843706777317,0.9927410992049776,0.9929127052722558,0.9989796752554921,0.02570694087401947,1516,40,42,5744,Tuned
RandomForest,0.9886951784254971,0.9930831748227563,0.9925682682336675,0.9928256547670499,0.998249475509096,0.02570694087401947,1516,40,43,5743,ML
XGBoost,0.9886951784254971,0.992572119537053,0.9930867611475976,0.992829373650108,0.998928081434044,0.027634961439570928,1513,43,40,5746,ML
DecisionTree,0.9854263143557613,0.9906687402799378,0.9908399585205668,0.9907543420029379,0.9814021767816473,0.03470437017992628,1502,54,53,5733,ML
DNN_Keras,0.9807954235903024,0.9882373291818024,0.9873833390943657,0.9878101495634132,0.997015111380453,0.043701799485833095,1488,68,73,5713,DL
KNN,0.9791609915554345,0.9871994464625498,0.9863463532665053,0.9867727154837036,0.9909533094243085,0.04755784061693602,1482,74,79,5707,ML
Improved_DNN,0.9734404794333968,0.9957439262280546,0.97044590390598,0.9829321663019693,0.9974510763948435,0.015424164524411681,1532,24,171,5615,DL
MLP_sklearn,0.967992372650504,0.9854818960993528,0.973729692360871,0.9795705468138747,0.9919713571540916,0.0533419023135904,1473,83,152,5634,DL
SVM,0.9387087986924544,0.972212389380531,0.9493605254061528,0.9606505771248688,0.973252185711988,0.10089974293052642,1399,157,293,5493,ML
AdaBoost,0.9125578861345682,0.9414692756608307,0.9479778776356723,0.9447123665173958,0.9673144532898754,0.21915167095101598,1215,341,301,5485,ML
LogisticRegression,0.8874965949332607,0.9234972677595629,0.9346698928447977,0.9290499914104106,0.9382560244255925,0.287917737789018,1108,448,378,5408,ML
NaiveBayes,0.8470444020702805,0.9536874878381008,0.847044590390598,0.89720823798627,0.924682573039968,0.15295629820041584,1318,238,885,4901,ML
